"subject" "activityName" "time_or_freq" "accleration" "instrument" "jerk_measure" "Magnitude_measure" "mean_or_std" "axis" "Average"
11 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.126227657258696
24 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.0737699163072727
22 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.330999221944444
19 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.644604325128205
6 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.333754731458333
15 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.320449387166667
17 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.148951103536087
1 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.0271882914106122
21 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.245771699004444
23 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.127211137694444
25 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.22010859462069
4 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.0491616726733333
26 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.114379383742
5 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.211138853638298
8 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.176599311818421
29 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.103705165666667
27 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.108071382861364
10 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.250843769394737
16 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.191079793587447
12 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.0183139429630435
28 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.104359216580435
30 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.0373901122469355
2 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA 0.0899511204978723
3 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.895383350192308
29 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.978017021833333
4 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.93569482
10 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.96075719962963
7 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.918432107083333
12 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.952176621372549
28 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.955789708611111
6 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.949543531272727
21 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.974734999411765
25 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.970409337076923
30 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.957487221451613
9 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.8933617176
11 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.961970763773585
5 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.9379783225
27 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.979481668857143
13 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.957690563673469
19 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.962074065616438
20 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.952738043030303
26 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.953079994102564
14 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.944197943703704
24 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.968979156470588
2 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.967893623913043
22 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.942167353870968
8 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.952139704347826
1 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.948536786170213
23 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.944080772941176
18 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.983674151754386
16 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.961879680724638
17 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.97274734640625
15 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.958669836271187
2 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.965875181296296
3 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.925430819016393
20 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.92240685739726
7 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.942724659245283
27 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.972753287375
30 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.930573574915254
4 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.906478051785714
12 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.941459935081967
5 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.906104701071429
19 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.960505683561644
21 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.958774298089888
13 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.971564243157895
10 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.951988907954545
8 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.953762884074074
11 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.984853836595745
9 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.945167482444444
24 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.950061017681159
22 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.954807661269841
18 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.972607495342466
28 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.92547165164557
6 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.945022876491228
17 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.977635981410256
16 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.969948825128205
14 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.943456847333333
23 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.957212267058824
15 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.961207616226415
29 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.984745318923077
26 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.968511694324324
25 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.972663592162162
1 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.98427820735849
30 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.969829984285714
27 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.982091652162162
14 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.905978250196078
28 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.95811223025
6 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.918878850824561
13 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.960517768225806
26 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.976785042368421
29 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.986493196666667
20 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.960743126176471
12 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.9482046755
11 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.980621180175439
3 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.972791346129032
7 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.936392023846154
10 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.956781819655172
8 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.935308633888889
21 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.952596583222222
4 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.954557603148148
18 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.986456241538461
5 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.966777882884615
22 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.934993799305555
9 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.9308684376
25 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.56047777609589
19 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.96626080686747
23 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.962959196805556
24 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.9718540425
16 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.961834634857143
1 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.8419291525
15 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.955340661527778
2 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.977435485208333
17 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "Mean" NA -0.953021411126761
7 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.198554708385965
21 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.299709752173077
18 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.460346465357143
11 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.487735915084746
20 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.156930391921569
22 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.161591787478261
26 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.421848313898305
6 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.266734167368421
19 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0993927171359615
14 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.36380562779661
29 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.262695063584906
27 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.407355787017544
4 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.527679103166667
3 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.328428936551724
30 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.359873411538462
13 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.292546377017544
9 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.37942877
12 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.23697286882
1 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.219688645631579
8 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.1804072826
23 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.209989354570847
25 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.565601466081081
5 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.377178733392857
28 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.39269402
10 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.185602396067925
24 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.48106401862069
15 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.323878324074074
16 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.47180926745098
2 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.422544169322034
17 "WALKING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.461837866885246
3 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.333597432542373
1 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.324970929245283
21 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.278474283829787
23 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.271893714117647
13 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.326339622181818
20 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.198269718823529
22 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.158757474833333
4 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.212012300480769
12 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.285844036153846
9 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.400222037142857
7 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.33474460745098
11 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.289592148148148
2 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.205977045295833
6 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0791508842176471
25 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.480006649846154
5 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.136736383765957
18 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.37184157
15 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.136552217494583
26 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.1507071068
8 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.227200254219512
27 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.37994878627451
14 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0197686685018519
16 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.334795080196078
28 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.211928666470588
24 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.30685447
17 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.1028777303875
29 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0414696051693878
10 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.211537480214383
19 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.177666828025
30 "WALKING_UPSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.327410815861538
3 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0411340078469388
13 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0156098198829787
7 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.214544028088723
14 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.428405922622222
20 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.172636361444444
18 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.229934247036364
9 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.265120131365238
11 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.0507743652521739
24 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0224839122854545
22 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.133267478527222
19 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.413472376589744
6 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.373611914166667
15 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.353204008095238
17 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.0914076757326087
1 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.0198843506265306
21 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.264341903711111
23 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.230363964351852
25 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.259465249913793
4 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0819559041111111
26 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.14700167906
5 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.205422375957447
8 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.131337867236842
29 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.1344811501875
27 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.121176277863636
10 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.156998205421053
16 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.119183740638298
12 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.0972608274652174
28 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.135465563932609
30 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.0135771208822581
2 "WALKING_DOWNSTAIRS" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA 0.215586334889362
3 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.8703017
29 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.9692903165
4 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.9144078448
10 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.939669591481481
7 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.881957619770833
12 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.947517100196078
28 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.947782703333333
6 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.931572655636364
21 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.971994251294118
25 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.960003414461538
30 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.942901466612903
9 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.8637564342
11 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.944581826415094
5 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.920939027727273
27 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.969526674714286
13 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.937935738571429
19 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.951755657260274
20 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.937764028181818
26 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.933602783410256
14 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.92549582962963
24 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.963779683235294
2 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.953081444130435
22 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.924336184035484
8 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.929943615630435
1 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.927078418723404
23 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.924963263235294
18 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.981595285964912
16 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.941051236086957
17 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.96506519109375
15 "SITTING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.93797790559322
2 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.957874965
3 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.915143303606557
20 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.910672094794521
7 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.933590156792453
27 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.9663601145
30 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.916570441355932
4 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.890976683392857
12 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.935232945245902
5 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.87977380125
19 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.962549342465754
21 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.956919898202247
13 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.968519673859649
10 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.937264537954546
8 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.937187185222222
11 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.98030536893617
9 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.936105010444444
24 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.94790101173913
22 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.939866315079365
18 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.972285545479452
28 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.917658334177215
6 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.939310249649123
17 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.975377309871795
16 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.95729449448718
14 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.936735577166667
23 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.9516698575
15 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.948600432641509
29 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.981745712923077
26 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.962697299189189
25 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.968075629324324
1 "STANDING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.981942928867925
30 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.960167907285714
27 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.978920176216216
14 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.856593119215686
28 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.9545740295
6 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.897326245964912
13 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.947944746612903
26 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.964355190394737
29 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.98157214768116
20 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.939489444558824
12 "LAYING" "Time" "Gravity" "Acclerometer" "N" "Y" "std" NA -0.936542686833333
